geoid,year,inclusive_growth_score,igs_yoy_delta
24510010100,2020,56.0,
24510010100,2021,62.0,6.0
24510010100,2022,61.0,-1.0
24510010100,2023,60.0,-1.0
24510010100,2024,60.0,0.0
24510010200,2020,52.0,
24510010200,2021,54.0,2.0
24510010200,2022,54.0,0.0
24510010200,2023,54.0,0.0
24510010200,2024,52.0,-2.0
24510010300,2020,61.0,
24510010300,2021,58.0,-3.0
24510010300,2022,52.0,-6.0
24510010300,2023,57.0,5.0
24510010300,2024,58.0,1.0
24510010400,2020,60.0,
24510010400,2021,57.0,-3.0
24510010400,2022,62.0,5.0
24510010400,2023,56.0,-6.0
24510010400,2024,58.0,2.0
24510010500,2020,50.0,
24510010500,2021,52.0,2.0
24510010500,2022,50.0,-2.0
24510010500,2023,51.0,1.0
24510010500,2024,49.0,-2.0
24510020100,2020,51.0,
24510020100,2021,54.0,3.0
24510020100,2022,54.0,0.0
24510020100,2023,59.0,5.0
24510020100,2024,58.0,-1.0
24510020200,2020,50.0,
24510020200,2021,52.0,2.0
24510020200,2022,52.0,0.0
24510020200,2023,44.0,-8.0
24510020200,2024,48.0,4.0
24510020300,2020,60.0,
24510020300,2021,65.0,5.0
24510020300,2022,60.0,-5.0
24510020300,2023,60.0,0.0
24510020300,2024,64.0,4.0
24510030100,2020,32.0,
24510030100,2021,36.0,4.0
24510030100,2022,38.0,2.0
24510030100,2023,40.0,2.0
24510030100,2024,39.0,-1.0
24510030200,2020,49.0,
24510030200,2021,59.0,10.0
24510030200,2022,64.0,5.0
24510030200,2023,68.0,4.0
24510030200,2024,71.0,3.0
24510040100,2020,60.0,
24510040100,2021,66.0,6.0
24510040100,2022,67.0,1.0
24510040100,2023,56.0,-11.0
24510040100,2024,59.0,3.0
24510040200,2020,32.0,
24510040200,2021,46.0,14.0
24510040200,2022,49.0,3.0
24510040200,2023,44.0,-5.0
24510040200,2024,46.0,2.0
24510060100,2020,37.0,
24510060100,2021,34.0,-3.0
24510060100,2022,34.0,0.0
24510060100,2023,39.0,5.0
24510060100,2024,41.0,2.0
24510060200,2020,44.0,
24510060200,2021,42.0,-2.0
24510060200,2022,38.0,-4.0
24510060200,2023,41.0,3.0
24510060200,2024,43.0,2.0
24510060300,2020,41.0,
24510060300,2021,48.0,7.0
24510060300,2022,41.0,-7.0
24510060300,2023,47.0,6.0
24510060300,2024,56.0,9.0
24510060400,2020,50.0,
24510060400,2021,40.0,-10.0
24510060400,2022,35.0,-5.0
24510060400,2023,48.0,13.0
24510060400,2024,45.0,-3.0
24510070100,2020,27.0,
24510070100,2021,27.0,0.0
24510070100,2022,31.0,4.0
24510070100,2023,31.0,0.0
24510070100,2024,30.0,-1.0
24510070200,2020,36.0,
24510070200,2021,40.0,4.0
24510070200,2022,31.0,-9.0
24510070200,2023,32.0,1.0
24510070200,2024,35.0,3.0
24510070300,2020,40.0,
24510070300,2021,40.0,0.0
24510070300,2022,40.0,0.0
24510070300,2023,44.0,4.0
24510070300,2024,47.0,3.0
24510070400,2020,36.0,
24510070400,2021,26.0,-10.0
24510070400,2022,36.0,10.0
24510070400,2023,34.0,-2.0
24510070400,2024,36.0,2.0
24510080101,2020,46.0,
24510080101,2021,48.0,2.0
24510080101,2022,50.0,2.0
24510080101,2023,50.0,0.0
24510080101,2024,48.0,-2.0
24510080102,2020,42.0,
24510080102,2021,38.0,-4.0
24510080102,2022,33.0,-5.0
24510080102,2023,41.0,8.0
24510080102,2024,42.0,1.0
24510080200,2020,34.0,
24510080200,2021,30.0,-4.0
24510080200,2022,38.0,8.0
24510080200,2023,33.0,-5.0
24510080200,2024,38.0,5.0
24510080301,2020,26.0,
24510080301,2021,33.0,7.0
24510080301,2022,31.0,-2.0
24510080301,2023,24.0,-7.0
24510080301,2024,30.0,6.0
24510080302,2020,38.0,
24510080302,2021,34.0,-4.0
24510080302,2022,26.0,-8.0
24510080302,2023,28.0,2.0
24510080302,2024,28.0,0.0
24510080400,2020,42.0,
24510080400,2021,41.0,-1.0
24510080400,2022,32.0,-9.0
24510080400,2023,36.0,4.0
24510080400,2024,40.0,4.0
24510080500,2020,31.0,
24510080500,2021,40.0,9.0
24510080500,2022,38.0,-2.0
24510080500,2023,26.0,-12.0
24510080500,2024,18.0,-8.0
24510080600,2020,34.0,
24510080600,2021,20.0,-14.0
24510080600,2022,28.0,8.0
24510080600,2023,24.0,-4.0
24510080600,2024,24.0,0.0
24510080700,2020,40.0,
24510080700,2021,44.0,4.0
24510080700,2022,42.0,-2.0
24510080700,2023,38.0,-4.0
24510080700,2024,38.0,0.0
24510080800,2020,44.0,
24510080800,2021,46.0,2.0
24510080800,2022,44.0,-2.0
24510080800,2023,46.0,2.0
24510080800,2024,44.0,-2.0
24510090100,2020,34.0,
24510090100,2021,34.0,0.0
24510090100,2022,32.0,-2.0
24510090100,2023,32.0,0.0
24510090100,2024,39.0,7.0
24510090200,2020,49.0,
24510090200,2021,48.0,-1.0
24510090200,2022,58.0,10.0
24510090200,2023,52.0,-6.0
24510090200,2024,46.0,-6.0
24510090300,2020,44.0,
24510090300,2021,38.0,-6.0
24510090300,2022,43.0,5.0
24510090300,2023,44.0,1.0
24510090300,2024,41.0,-3.0
24510090400,2020,30.0,
24510090400,2021,33.0,3.0
24510090400,2022,30.0,-3.0
24510090400,2023,30.0,0.0
24510090400,2024,32.0,2.0
24510090500,2020,38.0,
24510090500,2021,34.0,-4.0
24510090500,2022,38.0,4.0
24510090500,2023,34.0,-4.0
24510090500,2024,38.0,4.0
24510090600,2020,32.0,
24510090600,2021,24.0,-8.0
24510090600,2022,26.0,2.0
24510090600,2023,32.0,6.0
24510090600,2024,31.0,-1.0
24510090700,2020,30.0,
24510090700,2021,27.0,-3.0
24510090700,2022,20.0,-7.0
24510090700,2023,29.0,9.0
24510090700,2024,22.0,-7.0
24510090800,2020,24.0,
24510090800,2021,34.0,10.0
24510090800,2022,28.0,-6.0
24510090800,2023,25.0,-3.0
24510090800,2024,30.0,5.0
24510090900,2020,36.0,
24510090900,2021,35.0,-1.0
24510090900,2022,32.0,-3.0
24510090900,2023,38.0,6.0
24510090900,2024,35.0,-3.0
24510100100,2020,25.0,
24510100100,2021,28.0,3.0
24510100100,2022,29.0,1.0
24510100100,2023,36.0,7.0
24510100100,2024,36.0,0.0
24510100200,2020,34.0,
24510100200,2021,30.0,-4.0
24510100200,2022,34.0,4.0
24510100200,2023,34.0,0.0
24510100200,2024,32.0,-2.0
24510110100,2020,45.0,
24510110100,2021,44.0,-1.0
24510110100,2022,45.0,1.0
24510110100,2023,44.0,-1.0
24510110100,2024,43.0,-1.0
24510110200,2020,58.0,
24510110200,2021,59.0,1.0
24510110200,2022,59.0,0.0
24510110200,2023,61.0,2.0
24510110200,2024,60.0,-1.0
24510120100,2020,50.0,
24510120100,2021,52.0,2.0
24510120100,2022,59.0,7.0
24510120100,2023,62.0,3.0
24510120100,2024,62.0,0.0
24510120201,2020,62.0,
24510120201,2021,52.0,-10.0
24510120201,2022,50.0,-2.0
24510120201,2023,42.0,-8.0
24510120201,2024,50.0,8.0
24510120202,2020,49.0,
24510120202,2021,40.0,-9.0
24510120202,2022,44.0,4.0
24510120202,2023,38.0,-6.0
24510120202,2024,33.0,-5.0
24510120300,2020,48.0,
24510120300,2021,48.0,0.0
24510120300,2022,50.0,2.0
24510120300,2023,42.0,-8.0
24510120300,2024,44.0,2.0
24510120400,2020,42.0,
24510120400,2021,39.0,-3.0
24510120400,2022,44.0,5.0
24510120400,2023,42.0,-2.0
24510120400,2024,40.0,-2.0
24510120500,2020,50.0,
24510120500,2021,56.0,6.0
24510120500,2022,56.0,0.0
24510120500,2023,52.0,-4.0
24510120500,2024,52.0,0.0
24510120600,2020,41.0,
24510120600,2021,52.0,11.0
24510120600,2022,48.0,-4.0
24510120600,2023,46.0,-2.0
24510120600,2024,47.0,1.0
24510120700,2020,52.0,
24510120700,2021,57.0,5.0
24510120700,2022,52.0,-5.0
24510120700,2023,50.0,-2.0
24510120700,2024,49.0,-1.0
24510130100,2020,39.0,
24510130100,2021,36.0,-3.0
24510130100,2022,34.0,-2.0
24510130100,2023,35.0,1.0
24510130100,2024,41.0,6.0
24510130200,2020,42.0,
24510130200,2021,53.0,11.0
24510130200,2022,50.0,-3.0
24510130200,2023,46.0,-4.0
24510130200,2024,44.0,-2.0
24510130300,2020,38.0,
24510130300,2021,36.0,-2.0
24510130300,2022,38.0,2.0
24510130300,2023,34.0,-4.0
24510130300,2024,34.0,0.0
24510130400,2020,26.0,
24510130400,2021,32.0,6.0
24510130400,2022,32.0,0.0
24510130400,2023,33.0,1.0
24510130400,2024,26.0,-7.0
24510130600,2020,65.0,
24510130600,2021,67.0,2.0
24510130600,2022,68.0,1.0
24510130600,2023,62.0,-6.0
24510130600,2024,66.0,4.0
24510130700,2020,56.0,
24510130700,2021,56.0,0.0
24510130700,2022,60.0,4.0
24510130700,2023,54.0,-6.0
24510130700,2024,57.0,3.0
24510130803,2020,46.0,
24510130803,2021,41.0,-5.0
24510130803,2022,50.0,9.0
24510130803,2023,49.0,-1.0
24510130803,2024,53.0,4.0
24510130804,2020,54.0,
24510130804,2021,54.0,0.0
24510130804,2022,49.0,-5.0
24510130804,2023,50.0,1.0
24510130804,2024,52.0,2.0
24510130805,2020,34.0,
24510130805,2021,34.0,0.0
24510130805,2022,36.0,2.0
24510130805,2023,40.0,4.0
24510130805,2024,35.0,-5.0
24510130806,2020,55.0,
24510130806,2021,64.0,9.0
24510130806,2022,55.0,-9.0
24510130806,2023,52.0,-3.0
24510130806,2024,54.0,2.0
24510140100,2020,41.0,
24510140100,2021,42.0,1.0
24510140100,2022,42.0,0.0
24510140100,2023,42.0,0.0
24510140100,2024,46.0,4.0
24510140200,2020,37.0,
24510140200,2021,36.0,-1.0
24510140200,2022,32.0,-4.0
24510140200,2023,35.0,3.0
24510140200,2024,30.0,-5.0
24510140300,2020,38.0,
24510140300,2021,38.0,0.0
24510140300,2022,40.0,2.0
24510140300,2023,38.0,-2.0
24510140300,2024,38.0,0.0
24510150100,2020,32.0,
24510150100,2021,32.0,0.0
24510150100,2022,35.0,3.0
24510150100,2023,38.0,3.0
24510150100,2024,34.0,-4.0
24510150200,2020,28.0,
24510150200,2021,30.0,2.0
24510150200,2022,30.0,0.0
24510150200,2023,30.0,0.0
24510150200,2024,32.0,2.0
24510150300,2020,34.0,
24510150300,2021,22.0,-12.0
24510150300,2022,21.0,-1.0
24510150300,2023,20.0,-1.0
24510150300,2024,28.0,8.0
24510150400,2020,32.0,
24510150400,2021,34.0,2.0
24510150400,2022,40.0,6.0
24510150400,2023,38.0,-2.0
24510150400,2024,40.0,2.0
24510150500,2020,38.0,
24510150500,2021,38.0,0.0
24510150500,2022,42.0,4.0
24510150500,2023,40.0,-2.0
24510150500,2024,42.0,2.0
24510150600,2020,41.0,
24510150600,2021,38.0,-3.0
24510150600,2022,36.0,-2.0
24510150600,2023,32.0,-4.0
24510150600,2024,37.0,5.0
24510150701,2020,44.0,
24510150701,2021,48.0,4.0
24510150701,2022,49.0,1.0
24510150701,2023,46.0,-3.0
24510150701,2024,45.0,-1.0
24510150702,2020,26.0,
24510150702,2021,43.0,17.0
24510150702,2022,38.0,-5.0
24510150702,2023,34.0,-4.0
24510150702,2024,35.0,1.0
24510150800,2020,36.0,
24510150800,2021,40.0,4.0
24510150800,2022,34.0,-6.0
24510150800,2023,38.0,4.0
24510150800,2024,38.0,0.0
24510150900,2020,42.0,
24510150900,2021,38.0,-4.0
24510150900,2022,33.0,-5.0
24510150900,2023,38.0,5.0
24510150900,2024,36.0,-2.0
24510151000,2020,32.0,
24510151000,2021,38.0,6.0
24510151000,2022,36.0,-2.0
24510151000,2023,34.0,-2.0
24510151000,2024,34.0,0.0
24510151100,2020,40.0,
24510151100,2021,53.0,13.0
24510151100,2022,52.0,-1.0
24510151100,2023,44.0,-8.0
24510151100,2024,40.0,-4.0
24510151200,2020,31.0,
24510151200,2021,27.0,-4.0
24510151200,2022,27.0,0.0
24510151200,2023,31.0,4.0
24510151200,2024,34.0,3.0
24510151300,2020,36.0,
24510151300,2021,36.0,0.0
24510151300,2022,47.0,11.0
24510151300,2023,47.0,0.0
24510151300,2024,48.0,1.0
24510160100,2020,38.0,
24510160100,2021,32.0,-6.0
24510160100,2022,32.0,0.0
24510160100,2023,35.0,3.0
24510160100,2024,32.0,-3.0
24510160200,2020,26.0,
24510160200,2021,19.0,-7.0
24510160200,2022,20.0,1.0
24510160200,2023,24.0,4.0
24510160200,2024,23.0,-1.0
24510160300,2020,21.0,
24510160300,2021,25.0,4.0
24510160300,2022,34.0,9.0
24510160300,2023,30.0,-4.0
24510160300,2024,38.0,8.0
24510160400,2020,32.0,
24510160400,2021,22.0,-10.0
24510160400,2022,26.0,4.0
24510160400,2023,24.0,-2.0
24510160400,2024,24.0,0.0
24510160500,2020,30.0,
24510160500,2021,28.0,-2.0
24510160500,2022,26.0,-2.0
24510160500,2023,33.0,7.0
24510160500,2024,38.0,5.0
24510160600,2020,34.0,
24510160600,2021,28.0,-6.0
24510160600,2022,30.0,2.0
24510160600,2023,28.0,-2.0
24510160600,2024,27.0,-1.0
24510160700,2020,32.0,
24510160700,2021,38.0,6.0
24510160700,2022,29.0,-9.0
24510160700,2023,32.0,3.0
24510160700,2024,32.0,0.0
24510160801,2020,39.0,
24510160801,2021,43.0,4.0
24510160801,2022,34.0,-9.0
24510160801,2023,34.0,0.0
24510160801,2024,32.0,-2.0
24510160802,2020,34.0,
24510160802,2021,24.0,-10.0
24510160802,2022,32.0,8.0
24510160802,2023,38.0,6.0
24510160802,2024,34.0,-4.0
24510170100,2020,38.0,
24510170100,2021,40.0,2.0
24510170100,2022,39.0,-1.0
24510170100,2023,41.0,2.0
24510170100,2024,42.0,1.0
24510170200,2020,22.0,
24510170200,2021,30.0,8.0
24510170200,2022,32.0,2.0
24510170200,2023,32.0,0.0
24510170200,2024,38.0,6.0
24510170300,2020,40.0,
24510170300,2021,36.0,-4.0
24510170300,2022,20.0,-16.0
24510170300,2023,28.0,8.0
24510170300,2024,24.0,-4.0
24510180100,2020,38.0,
24510180100,2021,35.0,-3.0
24510180100,2022,35.0,0.0
24510180100,2023,50.0,15.0
24510180100,2024,48.0,-2.0
24510180200,2020,32.0,
24510180200,2021,38.0,6.0
24510180200,2022,35.0,-3.0
24510180200,2023,34.0,-1.0
24510180200,2024,34.0,0.0
24510180300,2020,40.0,
24510180300,2021,44.0,4.0
24510180300,2022,42.0,-2.0
24510180300,2023,42.0,0.0
24510180300,2024,42.0,0.0
24510190100,2020,38.0,
24510190100,2021,38.0,0.0
24510190100,2022,36.0,-2.0
24510190100,2023,37.0,1.0
24510190100,2024,35.0,-2.0
24510190200,2020,42.0,
24510190200,2021,43.0,1.0
24510190200,2022,45.0,2.0
24510190200,2023,48.0,3.0
24510190200,2024,56.0,8.0
24510190300,2020,31.0,
24510190300,2021,24.0,-7.0
24510190300,2022,26.0,2.0
24510190300,2023,34.0,8.0
24510190300,2024,35.0,1.0
24510200100,2020,30.0,
24510200100,2021,28.0,-2.0
24510200100,2022,34.0,6.0
24510200100,2023,36.0,2.0
24510200100,2024,33.0,-3.0
24510200200,2020,44.0,
24510200200,2021,30.0,-14.0
24510200200,2022,35.0,5.0
24510200200,2023,34.0,-1.0
24510200200,2024,34.0,0.0
24510200300,2020,34.0,
24510200300,2021,22.0,-12.0
24510200300,2022,25.0,3.0
